GENESIS-Tabelle: 13211-0008
Arbeitslose, Arbeitslosenquoten, Gemeldete Arbeitsstellen:;;;;;;
Bundesländer, Monate;;;;;;
Arbeitsmarktstatistik der Bundesagentur für Arbeit;;;;;;
;;;Arbeitslose;Arbeitslosenquote aller zivilen Erwerbspersonen;Arbeitslosenquote d. abhängigen ziv. Erwerbspers.;Gemeldete Arbeitsstellen
;;;Anzahl;Prozent;Prozent;Anzahl
Hessen;2015;Februar;188613;5,8;6,6;38671
Hessen;2015;März;184270;5,7;6,5;41002
Hessen;2015;April;181555;5,6;6,4;40485
Hessen;2015;Mai;177273;5,4;6,1;41222
Hessen;2015;Juni;174263;5,3;6,0;42731
Hessen;2015;Juli;177929;5,4;6,1;44030
Hessen;2015;August;181106;5,5;6,2;45424
Hessen;2015;September;174559;5,3;6,0;45216
Hessen;2015;Oktober;170664;5,2;5,9;45882
Hessen;2015;November;167209;5,1;5,7;45965
Hessen;2015;Dezember;168165;5,1;5,8;44186
Hessen;2016;Januar;182460;5,6;6,3;43713
Hessen;2016;Februar;182811;5,6;6,3;45366
Hessen;2016;März;179393;5,5;6,2;47315
Hessen;2016;April;176006;5,4;6,0;47929
Hessen;2016;Mai;171125;5,2;5,8;48699
Hessen;2016;Juni;168571;5,1;5,7;49999
Hessen;2016;Juli;172954;5,3;5,9;50898
Hessen;2016;August;175598;5,3;5,9;51431
Hessen;2016;September;169428;5,1;5,7;50900
Hessen;2016;Oktober;165656;5,0;5,6;50976
Hessen;2016;November;163791;5,0;5,5;49969
Hessen;2016;Dezember;...;...;...;...
Mecklenburg-Vorpommern;2015;Januar;102176;12,3;13,4;10199
Mecklenburg-Vorpommern;2015;Februar;101492;12,2;13,3;11237
Mecklenburg-Vorpommern;2015;März;96083;11,6;12,6;11876
Mecklenburg-Vorpommern;2015;April;88196;10,6;11,6;11833
Mecklenburg-Vorpommern;2015;Mai;82982;10,0;10,9;11660
Mecklenburg-Vorpommern;2015;Juni;79507;9,6;10,4;11650
Mecklenburg-Vorpommern;2015;Juli;79476;9,6;10,4;11599
Mecklenburg-Vorpommern;2015;August;79792;9,6;10,5;11651
Mecklenburg-Vorpommern;2015;September;78339;9,5;10,3;11068
Mecklenburg-Vorpommern;2015;Oktober;78086;9,4;10,2;11682
